ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	group
GO:0032964	GO:0032964	collagen biosynthetic process	3/564	17/5037	0.295198812571178	0.883847348552814	0.79864223924463	ARRB2/HDAC2/CIITA	3	go_bp
GO:0033059	GO:0033059	cellular pigmentation	3/564	17/5037	0.295198812571178	0.883847348552814	0.79864223924463	RAB27A/VPS33B/AP3B1	3	go_bp
GO:0035088	GO:0035088	establishment or maintenance of apical/basal cell polarity	3/564	17/5037	0.295198812571178	0.883847348552814	0.79864223924463	MSN/CLIC4/MARK2	3	go_bp
GO:0043030	GO:0043030	regulation of macrophage activation	3/564	17/5037	0.295198812571178	0.883847348552814	0.79864223924463	PTPRC/SHPK/CTSC	3	go_bp
GO:0061245	GO:0061245	establishment or maintenance of bipolar cell polarity	3/564	17/5037	0.295198812571178	0.883847348552814	0.79864223924463	MSN/CLIC4/MARK2	3	go_bp
GO:1901985	GO:1901985	positive regulation of protein acetylation	3/564	17/5037	0.295198812571178	0.883847348552814	0.79864223924463	PML/ARRB1/RPS6KA5	3	go_bp
GO:1902003	GO:1902003	regulation of amyloid-beta formation	3/564	17/5037	0.295198812571178	0.883847348552814	0.79864223924463	RTN1/CASP3/RELA	3	go_bp
GO:2000008	GO:2000008	regulation of protein localization to cell surface	3/564	17/5037	0.295198812571178	0.883847348552814	0.79864223924463	KCNAB2/MAP1A/ARF6	3	go_bp
GO:2000641	GO:2000641	regulation of early endosome to late endosome transport	3/564	17/5037	0.295198812571178	0.883847348552814	0.79864223924463	EZR/MSN/DENND10	3	go_bp
GO:1901699	GO:1901699	cellular response to nitrogen compound	33/564	267/5037	0.295991055001226	0.883847348552814	0.79864223924463	ARRB2/STAT1/PCK2/IFIT1/FOLR2/RTF2/CYBB/ICAM1/STAT6/LGMN/CASP7/CYBA/OSBPL8/DDX58/ACTR2/RAB8B/EZR/PIP4K2C/CSK/CYFIP1/HSP90B1/GUCY1B1/NFKB1/HDAC2/CASP3/DIAPH1/RELA/NCSTN/ASS1/PRKDC/JAK1/DENND4C/HNRNPD	33	go_bp
GO:0014070	GO:0014070	response to organic cyclic compound	38/564	310/5037	0.296732399917533	0.883847348552814	0.79864223924463	ARRB2/STAT1/PCK2/IFIT1/NCOR2/ABAT/FOLR2/CYBB/ARPC1B/CASP7/CYBA/DDX58/ACTR2/SAFB2/EZR/DDX5/MSN/PEA15/CPT1A/SRSF2/HSP90B1/SLC3A2/ACE/SNW1/MED1/RFTN1/ATP1A1/NFKB1/HDAC2/EIF4A3/CALR/CASP3/DIAPH1/NCSTN/ASS1/ABCD3/HNRNPD/CNOT1	38	go_bp
GO:0097190	GO:0097190	apoptotic signaling pathway	29/564	233/5037	0.297679673779773	0.883847348552814	0.79864223924463	NOC2L/ARRB2/NOX1/PDCD10/MAGED1/DIDO1/PTPRC/IFI16/ICAM1/GSDME/LGALS3/CD44/CTSC/PML/RHOT2/DDX5/PEA15/ITPR1/SNW1/SFPQ/HYOU1/CTTN/CASP3/RELA/PDIA3/RPS27L/PRKDC/CCAR2/PRKCA	29	go_bp
GO:0009914	GO:0009914	hormone transport	10/564	73/5037	0.297712771629458	0.883847348552814	0.79864223924463	VAMP8/PCK2/HLA-DRB1/ABAT/SNX4/RAB8B/CPT1A/NIBAN2/PFKL/GLUD1	10	go_bp
GO:0018212	GO:0018212	peptidyl-tyrosine modification	13/564	98/5037	0.300101748662203	0.883847348552814	0.79864223924463	HCLS1/ARRB2/PTPRC/MVP/PARP9/CD44/PLCG2/CSK/EHD4/EIF2AK2/ACE/HDAC2/JAK1	13	go_bp
GO:0010950	GO:0010950	positive regulation of endopeptidase activity	9/564	65/5037	0.300933480781736	0.883847348552814	0.79864223924463	IFI16/PSME2/PSME1/PML/LGMN/GSN/NCSTN/RPS27L/CYFIP2	9	go_bp
GO:0019722	GO:0019722	calcium-mediated signaling	9/564	65/5037	0.300933480781736	0.883847348552814	0.79864223924463	GBP1/PTPRC/ADA/CLIC2/PLCG2/PTBP1/ITPR1/DMPK/ZMPSTE24	9	go_bp
GO:0051261	GO:0051261	protein depolymerization	9/564	65/5037	0.300933480781736	0.883847348552814	0.79864223924463	STMN1/GAK/NES/TMOD3/MAP1A/EPS8/CAPG/ADD3/GSN	9	go_bp
GO:0060485	GO:0060485	mesenchyme development	9/564	65/5037	0.300933480781736	0.883847348552814	0.79864223924463	STAT1/FAM172A/S100A4/GLIPR2/NOLC1/DDX5/PDCD4/TRIM28/HDAC2	9	go_bp
GO:0009112	GO:0009112	nucleobase metabolic process	4/564	25/5037	0.304706621659969	0.883847348552814	0.79864223924463	TYMP/CAD/ADA/SHMT2	4	go_bp
GO:0009261	GO:0009261	ribonucleotide catabolic process	4/564	25/5037	0.304706621659969	0.883847348552814	0.79864223924463	NT5E/ADA/AMPD3/ABCD1	4	go_bp
GO:0016572	GO:0016572	histone phosphorylation	4/564	25/5037	0.304706621659969	0.883847348552814	0.79864223924463	SMARCA5/RPS6KA5/ZMPSTE24/PRKCA	4	go_bp
GO:0032755	GO:0032755	positive regulation of interleukin-6 production	4/564	25/5037	0.304706621659969	0.883847348552814	0.79864223924463	IL16/CYBA/DDX58/PLCG2	4	go_bp
GO:0033619	GO:0033619	membrane protein proteolysis	4/564	25/5037	0.304706621659969	0.883847348552814	0.79864223924463	HM13/SH3D19/ERAP1/NCSTN	4	go_bp
GO:0044774	GO:0044774	mitotic DNA integrity checkpoint signaling	4/564	25/5037	0.304706621659969	0.883847348552814	0.79864223924463	PML/TAOK3/RPS27L/PRKDC	4	go_bp
GO:0048709	GO:0048709	oligodendrocyte differentiation	4/564	25/5037	0.304706621659969	0.883847348552814	0.79864223924463	CSK/HDAC2/NCSTN/CNP	4	go_bp
GO:0007032	GO:0007032	endosome organization	7/564	49/5037	0.306224883378125	0.883847348552814	0.79864223924463	RAB27A/ARFGEF2/VPS33B/PIK3C3/WASHC5/SCARB2/EEA1	7	go_bp
GO:0009123	GO:0009123	nucleoside monophosphate metabolic process	7/564	49/5037	0.306224883378125	0.883847348552814	0.79864223924463	TYMP/CMPK2/CAD/NT5E/ADA/AMPD3/CASK	7	go_bp
GO:0045931	GO:0045931	positive regulation of mitotic cell cycle	7/564	49/5037	0.306224883378125	0.883847348552814	0.79864223924463	CDC27/TMOD3/RCC2/LGMN/UBE2E2/CPSF3/PRKCA	7	go_bp
GO:0090276	GO:0090276	regulation of peptide hormone secretion	7/564	49/5037	0.306224883378125	0.883847348552814	0.79864223924463	PCK2/HLA-DRB1/ABAT/RAB8B/CPT1A/PFKL/GLUD1	7	go_bp
GO:1901657	GO:1901657	glycosyl compound metabolic process	7/564	49/5037	0.306224883378125	0.883847348552814	0.79864223924463	TYMP/GLA/NT5E/ICMT/ADA/GUSB/PGM2	7	go_bp
GO:0030004	GO:0030004	cellular monovalent inorganic cation homeostasis	5/564	33/5037	0.307699831024988	0.883847348552814	0.79864223924463	TMEM165/NOX1/HVCN1/CLIC4/ATP1A1	5	go_bp
GO:0051101	GO:0051101	regulation of DNA binding	5/564	33/5037	0.307699831024988	0.883847348552814	0.79864223924463	IFI16/TRIM28/NIBAN2/HDAC2/ZMPSTE24	5	go_bp
GO:0090630	GO:0090630	activation of GTPase activity	5/564	33/5037	0.307699831024988	0.883847348552814	0.79864223924463	ARHGAP25/RCC2/RHOG/TBC1D22A/TBC1D15	5	go_bp
GO:1901992	GO:1901992	positive regulation of mitotic cell cycle phase transition	5/564	33/5037	0.307699831024988	0.883847348552814	0.79864223924463	CDC27/TMOD3/RCC2/UBE2E2/CPSF3	5	go_bp
GO:1904377	GO:1904377	positive regulation of protein localization to cell periphery	5/564	33/5037	0.307699831024988	0.883847348552814	0.79864223924463	PTPN9/LGALS3/RHOG/EZR/ARF6	5	go_bp
GO:0032355	GO:0032355	response to estradiol	6/564	41/5037	0.307735127488929	0.883847348552814	0.79864223924463	NCOR2/ARPC1B/CALR/CASP3/ASS1/HNRNPD	6	go_bp
GO:0035194	GO:0035194	post-transcriptional gene silencing by RNA	6/564	41/5037	0.307735127488929	0.883847348552814	0.79864223924463	NCOR2/ADAR/DDX5/SRRT/ZMPSTE24/CNOT1	6	go_bp
GO:0051048	GO:0051048	negative regulation of secretion	6/564	41/5037	0.307735127488929	0.883847348552814	0.79864223924463	VAMP8/HLA-F/ABAT/ADA/ACE/PFKL	6	go_bp
GO:1901989	GO:1901989	positive regulation of cell cycle phase transition	6/564	41/5037	0.307735127488929	0.883847348552814	0.79864223924463	CDC27/TMOD3/RCC2/PLCG2/UBE2E2/CPSF3	6	go_bp
GO:1903825	GO:1903825	organic acid transmembrane transport	6/564	41/5037	0.307735127488929	0.883847348552814	0.79864223924463	FOLR2/SFXN3/CPT1A/SLC3A2/ABCD1/ABCD3	6	go_bp
GO:1905039	GO:1905039	carboxylic acid transmembrane transport	6/564	41/5037	0.307735127488929	0.883847348552814	0.79864223924463	FOLR2/SFXN3/CPT1A/SLC3A2/ABCD1/ABCD3	6	go_bp
GO:0070372	GO:0070372	regulation of ERK1 and ERK2 cascade	11/564	82/5037	0.308590423239514	0.883847348552814	0.79864223924463	GBP1/ARRB2/HLA-DRB1/PTPRC/ICAM1/CD44/GLIPR2/ARRB1/EZR/CSK/PRKCA	11	go_bp
GO:0006029	GO:0006029	proteoglycan metabolic process	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	UGDH/TM9SF2	2	go_bp
GO:0006268	GO:0006268	DNA unwinding involved in DNA replication	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	RECQL/MCM7	2	go_bp
GO:0006516	GO:0006516	glycoprotein catabolic process	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	MAN1A1/CST3	2	go_bp
GO:0006614	GO:0006614	SRP-dependent cotranslational protein targeting to membrane	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	TRAM1/SEC61A1	2	go_bp
GO:0006775	GO:0006775	fat-soluble vitamin metabolic process	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	LGMN/NFKB1	2	go_bp
GO:0007064	GO:0007064	mitotic sister chromatid cohesion	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	PDS5A/RAD21	2	go_bp
GO:0007606	GO:0007606	sensory perception of chemical stimulus	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	PLCB2/B2M	2	go_bp
GO:0009133	GO:0009133	nucleoside diphosphate biosynthetic process	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	CMPK2/CAD	2	go_bp
GO:0009148	GO:0009148	pyrimidine nucleoside triphosphate biosynthetic process	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	CMPK2/CAD	2	go_bp
GO:0009151	GO:0009151	purine deoxyribonucleotide metabolic process	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	SAMHD1/ADA	2	go_bp
GO:0010984	GO:0010984	regulation of lipoprotein particle clearance	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	KHSRP/CSK	2	go_bp
GO:0016078	GO:0016078	tRNA catabolic process	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	EXOSC9/EXOSC7	2	go_bp
GO:0019377	GO:0019377	glycolipid catabolic process	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	GM2A/GLA	2	go_bp
GO:0030890	GO:0030890	positive regulation of B cell proliferation	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	PTPRC/ADA	2	go_bp
GO:0031115	GO:0031115	negative regulation of microtubule polymerization	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	STMN1/ARHGEF7	2	go_bp
GO:0031297	GO:0031297	replication fork processing	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	SAMHD1/ALYREF	2	go_bp
GO:0032482	GO:0032482	Rab protein signal transduction	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	RAB35/DENND4C	2	go_bp
GO:0032528	GO:0032528	microvillus organization	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	EZR/TNIK	2	go_bp
GO:0034405	GO:0034405	response to fluid shear stress	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	ACE/ASS1	2	go_bp
GO:0035066	GO:0035066	positive regulation of histone acetylation	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	ARRB1/RPS6KA5	2	go_bp
GO:0042088	GO:0042088	T-helper 1 type immune response	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	HLA-DRB1/STAT6	2	go_bp
GO:0043217	GO:0043217	myelin maintenance	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	EPB41L3/ABCD1	2	go_bp
GO:0045005	GO:0045005	DNA-templated DNA replication maintenance of fidelity	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	SAMHD1/ALYREF	2	go_bp
GO:0045056	GO:0045056	transcytosis	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	FCGRT/CLTC	2	go_bp
GO:0045616	GO:0045616	regulation of keratinocyte differentiation	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	TRIM16/MED1	2	go_bp
GO:0045687	GO:0045687	positive regulation of glial cell differentiation	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	PRPF19/HDAC2	2	go_bp
GO:0045823	GO:0045823	positive regulation of heart contraction	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	ADA/ATP1A1	2	go_bp
GO:0046514	GO:0046514	ceramide catabolic process	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	GM2A/GLA	2	go_bp
GO:0046831	GO:0046831	regulation of RNA export from nucleus	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	CPSF6/KHDRBS1	2	go_bp
GO:0051349	GO:0051349	positive regulation of lyase activity	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	ORAI1/CAP1	2	go_bp
GO:0051571	GO:0051571	positive regulation of histone H3-K4 methylation	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	SNW1/HCFC1	2	go_bp
GO:0070192	GO:0070192	chromosome organization involved in meiotic cell cycle	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	RAD50/RAD21	2	go_bp
GO:0070498	GO:0070498	interleukin-1-mediated signaling pathway	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	RPS6KA5/RELA	2	go_bp
GO:0070528	GO:0070528	protein kinase C signaling	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	ANKRD1/MYADM	2	go_bp
GO:0090162	GO:0090162	establishment of epithelial cell polarity	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	MSN/ARF6	2	go_bp
GO:0099054	GO:0099054	presynapse assembly	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	FARP1/ARF6	2	go_bp
GO:0099172	GO:0099172	presynapse organization	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	FARP1/ARF6	2	go_bp
GO:0099515	GO:0099515	actin filament-based transport	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	MYO1F/MYO1B	2	go_bp
GO:0099622	GO:0099622	cardiac muscle cell membrane repolarization	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	ATP1A1/ZMPSTE24	2	go_bp
GO:0120033	GO:0120033	negative regulation of plasma membrane bounded cell projection assembly	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	EVL/ABI3	2	go_bp
GO:1901984	GO:1901984	negative regulation of protein acetylation	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	NOC2L/HDAC2	2	go_bp
GO:1903524	GO:1903524	positive regulation of blood circulation	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	ADA/ATP1A1	2	go_bp
GO:1903902	GO:1903902	positive regulation of viral life cycle	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	HLA-DRB1/TRIM21	2	go_bp
GO:1905214	GO:1905214	regulation of RNA binding	2/564	10/5037	0.310477013278071	0.883847348552814	0.79864223924463	NCBP1/EIF4A3	2	go_bp
GO:0010959	GO:0010959	regulation of metal ion transport	18/564	141/5037	0.312240244507934	0.888114807136779	0.802498304078632	IL16/KCNAB2/ARRB2/ORAI1/CORO1A/B2M/LGALS3/PML/CYBA/CLIC2/PLCG2/RRAD/CASK/ACE/ATP1A1/DIAPH1/DMPK/EHD3	18	go_bp
GO:0016049	GO:0016049	cell growth	20/564	158/5037	0.31284778060675	0.889090649534991	0.80338007281317	H1-5/CRABP2/EXOSC9/DCLK1/OGFR/RAPH1/IQGAP1/PML/CYBA/EPB41L3/CDKN2AIP/DPYSL2/CYFIP1/DBN1/MACF1/NCBP1/CTTN/SMARCA2/CYFIP2/CCAR2	20	go_bp
GO:0018205	GO:0018205	peptidyl-lysine modification	14/564	108/5037	0.321037147740198	0.909626677983053	0.821936376423523	NOC2L/H1-5/H1-3/TRIM16/PML/VPS33B/ARRB1/TRIM28/SNW1/RPS6KA5/HDAC2/RELA/ZMPSTE24/HCFC1	14	go_bp
GO:0036293	GO:0036293	response to decreased oxygen levels	14/564	108/5037	0.321037147740198	0.909626677983053	0.821936376423523	ABAT/TBL2/CIAO3/CYBB/PML/ADA/CYBA/XRCC1/ITPR1/HSP90B1/ACE/HMOX2/HYOU1/CASP3	14	go_bp
GO:0006473	GO:0006473	protein acetylation	8/564	58/5037	0.321156117419953	0.909626677983053	0.821936376423523	NOC2L/TRIM16/PML/ARRB1/RPS6KA5/HDAC2/ZMPSTE24/HCFC1	8	go_bp
GO:0007584	GO:0007584	response to nutrient	8/564	58/5037	0.321156117419953	0.909626677983053	0.821936376423523	STAT1/FOLR2/CYBB/SRSF2/SNW1/MED1/ASS1/DCPS	8	go_bp
GO:0061013	GO:0061013	regulation of mRNA catabolic process	11/564	83/5037	0.323047928522745	0.914214760684738	0.826082156403191	ZC3HAV1/EXOSC9/KHSRP/EXOSC7/THRAP3/HNRNPA0/EIF4A3/DCPS/HNRNPD/PRKCA/CNOT1	11	go_bp
GO:0048660	GO:0048660	regulation of smooth muscle cell proliferation	7/564	50/5037	0.324997130581248	0.914432941521749	0.826279304058289	NOX1/STAT1/CYBA/PDCD4/PRKDC/XRCC5/GNA13	7	go_bp
GO:0050807	GO:0050807	regulation of synapse organization	7/564	50/5037	0.324997130581248	0.914432941521749	0.826279304058289	ABI3/ACTR2/CYFIP1/DBN1/FARP1/DMPK/ARF6	7	go_bp
GO:0001934	GO:0001934	positive regulation of protein phosphorylation	25/564	202/5037	0.326177353758852	0.914432941521749	0.826279304058289	HCLS1/ARRB2/PDCD10/MAGED1/HLA-DRB1/PTPRC/PARP9/CD44/IQGAP1/DIPK2A/OSBPL8/PLCG2/ARRB1/CSK/EHD4/TAOK3/MYDGF/ACE/MARK2/TNKS1BP1/RPS6KA5/HDAC2/RAD50/TNIK/XRCC5	25	go_bp
GO:0010762	GO:0010762	regulation of fibroblast migration	3/564	18/5037	0.327405972940771	0.914432941521749	0.826279304058289	MTA2/RCC2/ARHGEF7	3	go_bp
GO:0019369	GO:0019369	arachidonic acid metabolic process	3/564	18/5037	0.327405972940771	0.914432941521749	0.826279304058289	PTGDS/ABHD12/TBXAS1	3	go_bp
GO:0035710	GO:0035710	CD4-positive, alpha-beta T cell activation	3/564	18/5037	0.327405972940771	0.914432941521749	0.826279304058289	HLA-DRB1/HLA-DRA/STAT6	3	go_bp
GO:0048593	GO:0048593	camera-type eye morphogenesis	3/564	18/5037	0.327405972940771	0.914432941521749	0.826279304058289	ALDH1A3/NAGLU/OBSL1	3	go_bp
GO:0060964	GO:0060964	regulation of miRNA-mediated gene silencing	3/564	18/5037	0.327405972940771	0.914432941521749	0.826279304058289	NCOR2/DDX5/ZMPSTE24	3	go_bp
GO:0061462	GO:0061462	protein localization to lysosome	3/564	18/5037	0.327405972940771	0.914432941521749	0.826279304058289	MEAK7/AP3B1/SCARB2	3	go_bp
GO:1901658	GO:1901658	glycosyl compound catabolic process	3/564	18/5037	0.327405972940771	0.914432941521749	0.826279304058289	GLA/ADA/GUSB	3	go_bp
GO:1901998	GO:1901998	toxin transport	3/564	18/5037	0.327405972940771	0.914432941521749	0.826279304058289	DNAJC17/ANTXR2/COPB2	3	go_bp
GO:2000134	GO:2000134	negative regulation of G1/S transition of mitotic cell cycle	3/564	18/5037	0.327405972940771	0.914432941521749	0.826279304058289	PML/RPS27L/PRKDC	3	go_bp
GO:0032504	GO:0032504	multicellular organism reproduction	21/564	168/5037	0.3282346358245	0.914432941521749	0.826279304058289	ARRB2/HPGDS/NCOR2/ABAT/FOLR2/APOL2/TPPP3/ADA/CTSB/ACE/SNRPA1/AP3B1/IGF2R/MED1/SPATA20/HDAC2/CALR/CASP3/SMARCA2/KHDRBS1/WASHC5	21	go_bp
GO:0006475	GO:0006475	internal protein amino acid acetylation	6/564	42/5037	0.32835317897942	0.914432941521749	0.826279304058289	NOC2L/TRIM16/ARRB1/RPS6KA5/ZMPSTE24/HCFC1	6	go_bp
GO:0050770	GO:0050770	regulation of axonogenesis	6/564	42/5037	0.32835317897942	0.914432941521749	0.826279304058289	CRABP2/PLXNB2/CYFIP1/DBN1/MACF1/MARK2	6	go_bp
GO:0050779	GO:0050779	RNA destabilization	6/564	42/5037	0.32835317897942	0.914432941521749	0.826279304058289	EXOSC9/KHSRP/EXOSC7/DCPS/HNRNPD/CNOT1	6	go_bp
GO:0055067	GO:0055067	monovalent inorganic cation homeostasis	6/564	42/5037	0.32835317897942	0.914432941521749	0.826279304058289	TMEM165/NOX1/HVCN1/CLIC4/ACE/ATP1A1	6	go_bp
GO:0061157	GO:0061157	mRNA destabilization	6/564	42/5037	0.32835317897942	0.914432941521749	0.826279304058289	EXOSC9/KHSRP/EXOSC7/DCPS/HNRNPD/CNOT1	6	go_bp
GO:0006749	GO:0006749	glutathione metabolic process	5/564	34/5037	0.330772934845015	0.914432941521749	0.826279304058289	HPGDS/CLIC2/CLIC1/GSTK1/GSR	5	go_bp
GO:0030901	GO:0030901	midbrain development	5/564	34/5037	0.330772934845015	0.914432941521749	0.826279304058289	CMA1/CKB/YWHAQ/GLUD1/CNP	5	go_bp
GO:0032874	GO:0032874	positive regulation of stress-activated MAPK cascade	5/564	34/5037	0.330772934845015	0.914432941521749	0.826279304058289	NOX1/PDCD10/TAOK3/EIF2AK2/TNIK	5	go_bp
GO:0045739	GO:0045739	positive regulation of DNA repair	5/564	34/5037	0.330772934845015	0.914432941521749	0.826279304058289	PARP9/ACTR2/XRCC1/TRIM28/PRKDC	5	go_bp
GO:0045921	GO:0045921	positive regulation of exocytosis	5/564	34/5037	0.330772934845015	0.914432941521749	0.826279304058289	VAMP8/HLA-F/RAB27A/SNX4/LAMP1	5	go_bp
GO:0048524	GO:0048524	positive regulation of viral process	5/564	34/5037	0.330772934845015	0.914432941521749	0.826279304058289	HLA-DRB1/IFIT1/TRIM21/ADAR/TOP2B	5	go_bp
GO:0006334	GO:0006334	nucleosome assembly	4/564	26/5037	0.331284747999254	0.914432941521749	0.826279304058289	H1-5/H1-3/SMARCA5/SART3	4	go_bp
GO:0006885	GO:0006885	regulation of pH	4/564	26/5037	0.331284747999254	0.914432941521749	0.826279304058289	TMEM165/NOX1/HVCN1/CLIC4	4	go_bp
GO:0014910	GO:0014910	regulation of smooth muscle cell migration	4/564	26/5037	0.331284747999254	0.914432941521749	0.826279304058289	S100A11/CORO1B/ACE/GNA13	4	go_bp
GO:0060338	GO:0060338	regulation of type I interferon-mediated signaling pathway	4/564	26/5037	0.331284747999254	0.914432941521749	0.826279304058289	STAT2/ISG15/SAMHD1/ADAR	4	go_bp
GO:0070373	GO:0070373	negative regulation of ERK1 and ERK2 cascade	4/564	26/5037	0.331284747999254	0.914432941521749	0.826279304058289	GBP1/PTPRC/EZR/CSK	4	go_bp
GO:0070828	GO:0070828	heterochromatin organization	4/564	26/5037	0.331284747999254	0.914432941521749	0.826279304058289	FAM172A/ZNFX1/TRIM28/HDAC2	4	go_bp
GO:0060271	GO:0060271	cilium assembly	9/564	67/5037	0.33336944212325	0.916910876785962	0.828518360125328	ABLIM1/SEPTIN9/ACTR2/ACTR3/EHD4/GSN/EHD1/EHD3/ABLIM3	9	go_bp
GO:0097193	GO:0097193	intrinsic apoptotic signaling pathway	16/564	126/5037	0.334502927506279	0.916910876785962	0.828518360125328	NOC2L/NOX1/PDCD10/IFI16/GSDME/CD44/PML/DDX5/ITPR1/SNW1/SFPQ/HYOU1/CASP3/RPS27L/PRKDC/CCAR2	16	go_bp
GO:0017148	GO:0017148	negative regulation of translation	11/564	84/5037	0.33765099150319	0.916910876785962	0.828518360125328	EXOSC9/KHSRP/EXOSC7/EIF2AK2/SHMT2/ILF3/EIF4A3/CALR/DCPS/HNRNPD/CNOT1	11	go_bp
GO:0043010	GO:0043010	camera-type eye development	8/564	59/5037	0.338650861121292	0.916910876785962	0.828518360125328	NES/ALDH1A3/NAGLU/CLIC4/MED1/RCN1/HDAC2/OBSL1	8	go_bp
GO:0060341	GO:0060341	regulation of cellular localization	43/564	359/5037	0.338739232092013	0.916910876785962	0.828518360125328	HCLS1/GBP1/KCNAB2/VAMP8/ABI3/PDCD10/MAGED1/HLA-DRB1/CORO1A/RAC2/PTPN9/LCP1/DCLK1/CPSF6/LGALS3/MAP1A/PARP9/PML/SNX4/CYBA/ANKRD13A/DKC1/CLIC2/NOLC1/RHOG/EZR/CSK/MSN/MEAK7/AP2M1/LAMP1/GSN/TRIM28/CD2AP/ARHGAP1/EHD1/CLTC/DIAPH1/KHDRBS1/STX7/DENND10/ABLIM3/ARF6	43	go_bp
GO:0071417	GO:0071417	cellular response to organonitrogen compound	29/564	238/5037	0.340708792452699	0.916910876785962	0.828518360125328	ARRB2/STAT1/PCK2/FOLR2/CYBB/ICAM1/STAT6/LGMN/CASP7/CYBA/OSBPL8/ACTR2/RAB8B/EZR/PIP4K2C/CSK/CYFIP1/HSP90B1/NFKB1/HDAC2/CASP3/DIAPH1/RELA/NCSTN/ASS1/PRKDC/JAK1/DENND4C/HNRNPD	29	go_bp
GO:0050730	GO:0050730	regulation of peptidyl-tyrosine phosphorylation	10/564	76/5037	0.343613586505909	0.916910876785962	0.828518360125328	HCLS1/ARRB2/PTPRC/MVP/PARP9/CD44/PLCG2/EHD4/ACE/HDAC2	10	go_bp
GO:0071383	GO:0071383	cellular response to steroid hormone stimulus	10/564	76/5037	0.343613586505909	0.916910876785962	0.828518360125328	PCK2/NCOR2/SAFB2/DDX5/ACE/MED1/ATP1A1/CALR/ASS1/CNOT1	10	go_bp
GO:0090068	GO:0090068	positive regulation of cell cycle process	10/564	76/5037	0.343613586505909	0.916910876785962	0.828518360125328	CDC27/TMOD3/RCC2/PLCG2/FEN1/SFPQ/MED1/UBE2E2/RAD21/CPSF3	10	go_bp
GO:0006468	GO:0006468	protein phosphorylation	56/564	473/5037	0.343742901441039	0.916910876785962	0.828518360125328	HCLS1/ARRB2/PDCD10/MAGED1/HLA-DRB1/GAK/STAT2/STK10/DCLK1/PTPRC/MVP/PARP9/CD44/AAK1/CTSG/CAD/MYADM/IQGAP1/PLXNB2/PML/ADAR/TOP1/DIPK2A/OSBPL8/WARS1/PLCG2/ARRB1/CSK/PDCD4/SMARCA5/EHD4/TAOK3/EIF2AK2/CASK/MYDGF/TRIM28/ACE/PIK3C3/ILF3/MARK2/PLPP3/TNKS1BP1/RPS6KA5/CDC42BPB/PPP4R1/HDAC2/RAD50/TNIK/CASP3/DMPK/PRKDC/JAK1/CIITA/ZMPSTE24/XRCC5/PRKCA	56	go_bp
